2020-01-01,7225.010000,7209.830000,7197.200000,7234.190000,7229.480000,7200.850000,7129.610000
2020-01-02,7129.610000,7110.570000,7139.790000,7130.980000,6983.270000,6965.710000,6952.040000
2020-01-03,6952.040000,7203.210000,7340.460000,7320.180000,7343.080000,7344.960000,7333.110000
2020-01-04,7333.110000,7348.110000,7336.450000,7318.990000,7334.830000,7354.110000,7475.990000
2020-01-05,7475.990000,7463.630000,7422.330000,7468.420000,7444.140000,7358.750000,7540.900000
2020-01-06,7540.900000,7507.910000,7544.720000,7519.990000,7539.900000,7758.000000,7894.900000
2020-01-07,7894.900000,7883.370000,7895.140000,7764.590000,8073.690000,8145.280000,8300.340000
2020-01-08,8300.340000,8297.260000,8332.470000,8305.970000,7963.350000,8055.980000,7954.720000
2020-01-09,7954.720000,7949.840000,7878.560000,7907.050000,7917.540000,7817.760000,7818.020000
2020-01-10,7818.020000,7752.980000,7841.690000,8066.600000,8059.490000,8197.020000,8158.490000
2020-01-11,8158.490000,8074.180000,8045.950000,8099.730000,8151.780000,8020.010000,8091.330000
2020-01-12,8091.330000,8097.510000,8114.080000,8152.700000,8132.010000,8184.980000,8105.770000
2020-01-13,8105.770000,8075.260000,8075.010000,8084.890000,8111.830000,8110.340000,8461.840000
2020-01-14,8461.840000,8509.990000,8526.870000,8675.480000,8767.560000,8810.010000,8727.610000
2020-01-15,8727.610000,8627.130000,8730.000000,8762.740000,8761.570000,8821.410000,8640.010000
2020-01-16,8640.010000,8680.000000,8724.910000,8710.020000,8705.000000,8720.010000,8786.430000
2020-01-17,8786.430000,8933.950000,8903.450000,8850.830000,8879.710000,8913.280000,8925.990000
2020-01-18,8925.990000,8843.630000,8879.790000,8903.260000,8907.930000,8915.960000,9157.610000
2020-01-19,9157.610000,9084.360000,8681.440000,8631.950000,8645.570000,8701.700000,8667.560000
2020-01-20,8667.560000,8665.140000,8615.250000,8675.380000,8673.670000,8642.350000,8674.100000
2020-01-21,8674.100000,8634.700000,8656.760000,8645.060000,8531.860000,8736.030000,8715.770000
2020-01-22,8715.770000,8740.270000,8659.870000,8655.370000,8670.390000,8682.360000,8597.230000
2020-01-23,8597.230000,8581.750000,8423.000000,8359.420000,8370.980000,8404.520000,8320.570000
2020-01-24,8320.570000,8340.000000,8412.770000,8506.440000,8498.760000,8439.000000,8297.620000
2020-01-25,8297.620000,8316.200000,8316.440000,8335.140000,8362.910000,8340.580000,8368.820000
2020-01-26,8368.820000,8385.170000,8479.150000,8459.670000,8569.100000,8615.000000,8670.100000
2020-01-27,8670.100000,8658.010000,8735.670000,8779.670000,8932.120000,8907.570000,9111.950000
2020-01-28,9111.950000,9039.920000,9082.130000,9024.580000,9010.860000,9374.210000,9343.500000
2020-01-29,9343.500000,9365.000000,9303.150000,9285.010000,9393.980000,9301.530000,9280.300000
2020-01-30,9280.300000,9391.020000,9338.210000,9386.880000,9506.820000,9513.210000,9444.000000
2020-01-31,9444.000000,9374.560000,9328.410000,9339.190000,9302.670000,9352.890000,9432.330000
2020-02-01,9432.330000,9423.010000,9354.660000,9333.910000,9367.090000,9384.610000,9266.830000
2020-02-02,9266.830000,9370.530000,9435.540000,9446.770000,9438.080000,9331.510000,9385.590000
2020-02-03,9385.590000,9368.160000,9351.480000,9270.000000,9316.700000,9292.240000,9282.950000
2020-02-04,9282.950000,9278.630000,9182.810000,9206.470000,9186.370000,9197.020000,9239.190000
2020-02-05,9239.190000,9274.530000,9418.480000,9485.080000,9655.990000,9612.040000,9635.700000
2020-02-06,9635.700000,9628.800000,9698.890000,9786.880000,9747.290000,9772.000000,9779.780000
2020-02-07,9779.780000,9801.830000,9809.330000,9802.020000,9775.590000,9813.730000,9714.110000
2020-02-08,9714.110000,9771.390000,9810.020000,9829.470000,9862.690000,9895.050000,10052.630000
2020-02-09,10052.630000,10127.870000,10109.520000,10097.100000,10074.850000,10151.750000,10090.470000
2020-02-10,10090.470000,9968.990000,9821.430000,9865.050000,9829.560000,9851.830000,9733.390000
2020-02-11,9733.390000,9739.940000,9801.040000,10164.990000,10247.730000,10223.080000,10263.000000
2020-02-12,10263.000000,10366.000000,10343.400000,10314.560000,10313.470000,10326.460000,10379.740000
2020-02-13,10379.740000,10338.960000,10151.110000,10254.930000,10250.310000,10229.630000,10258.700000
2020-02-14,10258.700000,10124.980000,10269.240000,10249.940000,10341.640000,10344.360000,10272.390000
2020-02-15,10272.390000,10221.760000,10229.360000,9983.180000,9893.990000,9904.720000,10000.580000
2020-02-16,10000.580000,9959.510000,9922.630000,9858.540000,9745.570000,9917.270000,9808.400000
2020-02-17,9808.400000,9753.260000,9609.940000,9633.450000,9666.150000,9706.000000,9724.820000
2020-02-18,9724.820000,9790.580000,9702.270000,9830.680000,10043.490000,10164.710000,10149.630000
2020-02-19,10149.630000,10059.300000,10148.930000,10139.220000,9593.790000,9571.500000
2020-02-20,9571.500000,9607.230000,9565.390000,9574.260000,9551.960000,9596.420000,9708.170000
2020-02-21,9708.170000,9673.430000,9694.560000,9722.560000,9681.840000,9677.050000,9665.900000
2020-02-22,9665.900000,9590.900000,9634.610000,9630.190000,9666.930000,9650.860000,9787.080000
2020-02-23,9787.080000,9880.700000,9825.570000,9861.900000,9871.760000,9936.400000,9753.710000
2020-02-24,9753.710000,9752.830000,9811.380000,9703.280000,9601.090000,9656.130000,9579.440000
2020-02-25,9579.440000,9520.160000,9627.220000,9397.470000,9359.950000,9315.840000,9170.130000
2020-02-26,9170.130000,9148.080000,9158.370000,8995.290000,8831.140000,8785.250000,8739.680000
